,Adj_Close,Close,High,Low,Open,Volume
2005-06-06,31.730999999999998,55.7476,56.4047,55.419,55.419,8194100
2005-06-07,31.6064,55.5286,56.1858,55.419,55.8571,9611500
2005-06-08,31.9181,56.0762,56.2953,55.6381,55.8571,5143000
2005-06-09,31.7934,55.8571,56.2953,55.7476,56.1858,4480100
2005-06-10,32.2298,56.6238,56.6238,55.8571,56.1858,7211700
2005-06-13,32.2298,56.6238,56.9523,56.0762,56.9523,4787400
2005-06-14,32.0428,56.2953,56.8429,55.9667,56.7334,6600000
2005-06-15,32.6662,57.3905,58.4858,56.2953,56.2953,19576700
2005-06-16,32.4168,56.9523,58.0476,56.8429,58.0476,5836200
2005-06-17,32.1674,56.5143,58.2667,56.4047,57.0619,25433000
2005-06-20,32.4168,56.9523,57.3905,56.4047,56.7334,6072600
2005-06-21,32.6039,57.281000000000006,57.3905,56.6238,57.3905,4595600
2005-06-22,34.287,60.238,60.238,57.3905,57.3905,23668600
2005-06-23,32.3468,56.8295,59.0109,56.7721,58.5516,21398500
2005-06-24,31.9548,56.1407,56.7147,55.9111,56.5999,6243200
2005-06-27,32.0201,56.2554,56.8295,55.2222,55.2222,12623000
2005-06-28,32.1181,56.4276,56.8295,56.2554,56.2554,11749200
2005-06-29,32.0201,56.2554,57.6332,56.2554,57.6332,10814400
2005-06-30,32.1181,56.4276,56.8295,56.2554,56.8295,4960900
2005-07-01,31.9548,56.1407,56.4276,55.6814,56.2554,3765400
2005-07-04,32.4775,57.059,57.2888,56.2554,56.2554,5748200
2005-07-05,32.3468,56.8295,57.1739,56.3703,56.9443,5148400
2005-07-06,32.1181,56.4276,57.1739,56.3129,57.1739,3123600
2005-07-07,33.9805,59.6996,60.2737,56.5999,56.9443,38492500
2005-07-08,34.0459,59.8145,62.5698,59.0109,60.0441,31378700
2005-07-11,35.9409,63.1438,63.9476,61.5366,61.6513,28203700
2005-07-12,35.8102,62.9142,63.6031,62.3402,63.1438,10875900
2005-07-13,35.6142,62.5698,63.8327,62.5698,62.6846,10003200
2005-07-14,36.0064,58.8454,60.126999999999995,58.4183,58.4183,14658100
2005-07-15,35.0262,57.2435,58.8454,57.1366,58.8454,8812300
2005-07-19,36.2677,59.2726,59.593,57.6706,58.8454,13645500
2005-07-20,36.5292,59.6998,60.8745,59.059,59.2726,20112000
2005-07-21,35.941,58.7386,60.4474,58.525,59.2726,10884300
2005-07-22,35.2875,57.6706,59.3794,56.1755,58.3114,11659400
2005-07-25,35.0262,57.2435,57.6706,56.7095,57.5639,5931200
2005-07-26,35.0915,57.3502,58.6318,57.1366,57.2435,6745800
2005-07-27,34.438,56.2822,57.8843,56.2822,57.6706,8395700
